Test,TestId,Type,Item,Message,Data,Path
ITEMS,102,"Info","","Behavior pack manifest found",,"/behavior_packs/shiroha7_dogeui/manifest.json",
ITEMS,103,"Info","","Resource pack manifest found",,"/resource_packs/shiroha7_dogeui/manifest.json",
ITEMS,205,"Info","","Behavior pack manifest item count",1,"",
ITEMS,210,"Info","","Entity type item count",4,"",
ITEMS,213,"Info","","TypeScript item count",2,"",
ITEMS,214,"Info","","Resource pack manifest item count",1,"",
ITEMS,219,"Info","","Behavior pack animation item count",1,"",
ITEMS,220,"Info","","Behavior pack animation controller item count",1,"",
ITEMS,224,"Info","","Loot table item count",2,"",
ITEMS,227,"Info","","Sound catalog item count",1,"",
ITEMS,228,"Info","","Animation item count",4,"",
ITEMS,230,"Info","","Entity type visuals/audio item count",4,"",
ITEMS,232,"Info","","Model item count",4,"",
ITEMS,233,"Info","","Particle item count",2,"",
ITEMS,244,"Info","","Spawn rule item count",4,"",
ITEMS,258,"Info","","TypeScript config item count",1,"",
ITEMS,259,"Info","","NPM package definition item count",1,"",
ITEMS,275,"Info","","VS Code launch file item count",1,"",
ITEMS,276,"Info","","VS Code tasks item count",1,"",
ITEMS,277,"Info","","VS Code settings item count",1,"",
ITEMS,278,"Info","","VS Code extensions item count",1,"",
ITEMS,279,"Info","","Language translations item count",1,"",
ITEMS,299,"Info","","Texture item count",25,"",
ITEMS,303,"Info","","Icon item count",2,"",
ITEMS,309,"Info","","Behavior pack folder item count",1,"",
ITEMS,310,"Info","","Resource pack folder item count",1,"",
ITEMS,319,"Info","","Just config item count",1,"",
ITEMS,320,"Info","","ESLint config item count",1,"",
ITEMS,321,"Info","","Environment File item count",1,"",
ITEMS,322,"Info","","Prettier JavaScript/JSON style config item count",1,"",
ITEMTYPE,1,"Test success","","Item Type completed successfully",,"",
JSON,1,"Test success","","JSON Schema Validation completed successfully",,"",
JSON,1119,"Info","","Behavior pack animation is not at a current format version (is at 1.10.0)",,"/behavior_packs/shiroha7_dogeui/animations/sheepomelon.bp_anims.json",
JSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/biceson.animation.json",
JSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/frost_moose.animation.json",
JSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/nardolphle.animation.json",
JSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/sheepomelon.animation.json",
JSONF,1,"Test success","","JSON Structure completed successfully",,"",
JSONF,110,"Warning","","At geometry.nardolphle.visible_bounds_offset, data does not match expected type. Data '0,0.75,0' is of type number array, which does not match type 'Array of strings'.",,"/resource_packs/shiroha7_dogeui/models/entity/nardolphle.geo.json",
JSONTAGS,1,"Test success","","JSON Tags completed successfully",,"",
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/entities/biceson.behavior.json","/behavior_packs/shiroha7_dogeui/entities/biceson.behavior.json",defaultComponents minecraftTypeFamily,1,defaultComponents minecraftBreathable,1,defaultComponents minecraftNameable,1,defaultComponents minecraftHealth,1,defaultComponents minecraftHurtOnCondition,1,defaultComponents minecraftCollisionBox,1,defaultComponents minecraftMovement,1,defaultComponents minecraftWaterMovement,1,defaultComponents minecraftNavigationWalk,1,defaultComponents minecraftMovementBasic,1,defaultComponents minecraftJumpStatic,1,defaultComponents minecraftCanClimb,1,defaultComponents minecraftFollowRange,1,defaultComponents minecraftDespawn,1,defaultComponents minecraftBehaviorFloat,1,defaultComponents minecraftBehaviorHurtByTarget,1,defaultComponents minecraftBehaviorRandomStroll,1,defaultComponents minecraftBehaviorLookAtPlayer,1,defaultComponents minecraftBehaviorRandomLookAround,1,defaultComponents minecraftPhysics,1,defaultComponents minecraftBehaviorPanic,1,defaultComponents minecraftLeashable,1,defaultComponents minecraftConditionalBandwidthOptimization,1,componentsUsedInComponentGroups minecraftIsBaby,1,componentsUsedInComponentGroups minecraftScale,1,componentsUsedInComponentGroups minecraftAgeable,1,componentsUsedInComponentGroups minecraftBehaviorFollowParent,1,componentsUsedInComponentGroups minecraftOnTargetAcquired,2,componentsUsedInComponentGroups minecraftBehaviorNearestAttackableTarget,2,componentsUsedInComponentGroups minecraftAngry,2,componentsUsedInComponentGroups minecraftExperienceReward,1,componentsUsedInComponentGroups minecraftLoot,1,componentsUsedInComponentGroups minecraftOnFriendlyAnger,1,componentsUsedInComponentGroups minecraftAttack,1,componentsUsedInComponentGroups minecraftBehaviorStompAttack,1,entityEvents randomize,1,entityEvents add,6,entityEvents remove,5,
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/entities/frost_moose.behavior.json","/behavior_packs/shiroha7_dogeui/entities/frost_moose.behavior.json",defaultComponents minecraftTypeFamily,1,defaultComponents minecraftBreathable,1,defaultComponents minecraftNameable,1,defaultComponents minecraftMarkVariant,1,defaultComponents minecraftHealth,1,defaultComponents minecraftHurtOnCondition,1,defaultComponents minecraftMovement,1,defaultComponents minecraftNavigationWalk,1,defaultComponents minecraftMovementBasic,1,defaultComponents minecraftJumpStatic,1,defaultComponents minecraftFollowRange,1,defaultComponents minecraftLeashable,1,defaultComponents minecraftBalloonable,1,defaultComponents minecraftHealable,1,defaultComponents minecraftShooter,1,defaultComponents minecraftDespawn,1,defaultComponents minecraftBehaviorFloat,1,defaultComponents minecraftBehaviorRunAroundLikeCrazy,1,defaultComponents minecraftBehaviorFollowCaravan,1,defaultComponents minecraftBehaviorPanic,1,defaultComponents minecraftBehaviorRandomStroll,1,defaultComponents minecraftBehaviorLookAtPlayer,1,defaultComponents minecraftBehaviorRandomLookAround,1,defaultComponents minecraftBehaviorMountPathing,1,defaultComponents minecraftBehaviorHurtByTarget,1,defaultComponents minecraftConditionalBandwidthOptimization,1,defaultComponents minecraftDamageSensor,1,defaultComponents minecraftBehaviorNearestAttackableTarget,1,defaultComponents minecraftOnTargetAcquired,1,defaultComponents minecraftOnTargetEscape,1,defaultComponents minecraftPhysics,1,componentsUsedInComponentGroups minecraftIsBaby,1,componentsUsedInComponentGroups minecraftScale,1,componentsUsedInComponentGroups minecraftAgeable,1,componentsUsedInComponentGroups minecraftBehaviorFollowParent,1,componentsUsedInComponentGroups minecraftExperienceReward,1,componentsUsedInComponentGroups minecraftLoot,1,componentsUsedInComponentGroups minecraftCollisionBox,1,componentsUsedInComponentGroups minecraftBehaviorBreed,1,componentsUsedInComponentGroups minecraftBreedable,1,componentsUsedInComponentGroups minecraftMarkVariant,1,componentsUsedInComponentGroups minecraftOnFriendlyAnger,1,componentsUsedInComponentGroups minecraftEnvironmentSensor,1,componentsUsedInComponentGroups minecraftPersistent,1,componentsUsedInComponentGroups minecraftStrength,5,componentsUsedInComponentGroups minecraftVariant,4,componentsUsedInComponentGroups minecraftRideable,2,componentsUsedInComponentGroups minecraftTamemount,1,componentsUsedInComponentGroups minecraftIsTamed,1,componentsUsedInComponentGroups minecraftInventory,1,componentsUsedInComponentGroups minecraftEquippable,1,componentsUsedInComponentGroups minecraftInteract,1,componentsUsedInComponentGroups minecraftIsChested,1,componentsUsedInComponentGroups minecraftAngry,3,componentsUsedInComponentGroups minecraftBehaviorRangedAttack,3,componentsUsedInComponentGroups minecraftDamageSensor,1,entityEvents randomize,1,entityEvents add,10,entityEvents sequence,2,entityEvents remove,5,entityEvents trigger,2,
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/entities/nardolphle.behavior.json","/behavior_packs/shiroha7_dogeui/entities/nardolphle.behavior.json",defaultComponents minecraftBreathable,1,defaultComponents minecraftNameable,1,defaultComponents minecraftHealth,1,defaultComponents minecraftDamageSensor,1,defaultComponents minecraftHurtOnCondition,1,defaultComponents minecraftMovement,1,defaultComponents minecraftWaterMovement,1,defaultComponents minecraftNavigationGeneric,1,defaultComponents minecraftMovementAmphibious,1,defaultComponents minecraftJumpStatic,1,defaultComponents minecraftPhysics,1,defaultComponents minecraftHome,1,defaultComponents minecraftFollowRange,1,defaultComponents minecraftDespawn,1,defaultComponents minecraftBehaviorPanic,1,defaultComponents minecraftBehaviorHurtByTarget,1,defaultComponents minecraftBehaviorTempt,1,defaultComponents minecraftBehaviorMoveToWater,1,defaultComponents minecraftBehaviorRandomSwim,1,defaultComponents minecraftBehaviorLookAtPlayer,1,defaultComponents minecraftConditionalBandwidthOptimization,1,componentsUsedInComponentGroups minecraftTypeFamily,2,componentsUsedInComponentGroups minecraftCollisionBox,2,componentsUsedInComponentGroups minecraftUnderwaterMovement,2,componentsUsedInComponentGroups minecraftIsBaby,1,componentsUsedInComponentGroups minecraftScale,1,componentsUsedInComponentGroups minecraftBehaviorMoveToWater,1,componentsUsedInComponentGroups minecraftAgeable,1,componentsUsedInComponentGroups minecraftExperienceReward,1,componentsUsedInComponentGroups minecraftLoot,1,componentsUsedInComponentGroups minecraftBreedable,1,componentsUsedInComponentGroups minecraftBehaviorBreed,1,componentsUsedInComponentGroups minecraftBehaviorMoveToLand,1,componentsUsedInComponentGroups minecraftBehaviorRandomStroll,1,componentsUsedInComponentGroups minecraftBehaviorGoHome,1,componentsUsedInComponentGroups minecraftBehaviorLayEgg,1,entityEvents randomize,1,entityEvents add,4,entityEvents remove,3,
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/entities/sheepomelon.behavior.json","/behavior_packs/shiroha7_dogeui/entities/sheepomelon.behavior.json",defaultComponents minecraftTypeFamily,1,defaultComponents minecraftBreathable,1,defaultComponents minecraftCollisionBox,1,defaultComponents minecraftNameable,1,defaultComponents minecraftHealth,1,defaultComponents minecraftHurtOnCondition,1,defaultComponents minecraftMovement,1,defaultComponents minecraftNavigationWalk,1,defaultComponents minecraftMovementBasic,1,defaultComponents minecraftJumpStatic,1,defaultComponents minecraftCanClimb,1,defaultComponents minecraftInteract,1,defaultComponents minecraftLeashable,1,defaultComponents minecraftBalloonable,1,defaultComponents minecraftDespawn,1,defaultComponents minecraftBehaviorFloat,1,defaultComponents minecraftBehaviorPanic,1,defaultComponents minecraftBehaviorMountPathing,1,defaultComponents minecraftBehaviorTempt,1,defaultComponents minecraftBehaviorFollowParent,1,defaultComponents minecraftBehaviorEatBlock,1,defaultComponents minecraftBehaviorRandomStroll,1,defaultComponents minecraftBehaviorLookAtPlayer,1,defaultComponents minecraftBehaviorRandomLookAround,1,defaultComponents minecraftPhysics,1,defaultComponents minecraftConditionalBandwidthOptimization,1,componentsUsedInComponentGroups minecraftLoot,2,componentsUsedInComponentGroups minecraftRideable,2,componentsUsedInComponentGroups minecraftIsBaby,1,componentsUsedInComponentGroups minecraftScale,1,componentsUsedInComponentGroups minecraftAgeable,1,componentsUsedInComponentGroups minecraftBehaviorFollowParent,1,componentsUsedInComponentGroups minecraftExperienceReward,1,componentsUsedInComponentGroups minecraftBehaviorBreed,1,componentsUsedInComponentGroups minecraftBreedable,1,componentsUsedInComponentGroups minecraftIsSheared,1,componentsUsedInComponentGroups minecraftBehaviorNearestAttackableTarget,1,componentsUsedInComponentGroups minecraftBehaviorMeleeAttack,1,componentsUsedInComponentGroups minecraftAttack,1,entityEvents sequence,2,entityEvents add,5,entityEvents remove,3,
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon.json","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon.json",
JSONTAGS,101,"Info","","Entity file","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon_shear.json","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon_shear.json",
JSONTAGS,108,"Info","","Sounds file","/resource_packs/shiroha7_dogeui/sounds.json","/resource_packs/shiroha7_dogeui/sounds.json",
